CRPName,CID,Party,DistIDRunFor,State,District,Name
"MacArthur, Thomas",N00036155,R,NJ03,NJ,3,Thomas MacArthur
"Macbeth, Karen",N00039574,R,RI01,RI,1,Karen Macbeth
"Macdonald, Bruce",N00039812,R,NJ04,NJ,4,Bruce Macdonald
"Machat, Steven",N00040207,I,FLS2,FL,S2,Steven Machat
"Mack, Robert",N00039933,D,MOS1,MO,S1,Robert Mack
"MacKenzie, Stephen",N00039097,R,IN05,IN,5,Stephen MacKenzie
"Mackey, Alfred",N00039149,D,OH14,OH,14,Alfred Mackey
"Maddux, Robert",N00037058,D,VA07,VA,7,Robert Maddux
"Madrigal, Ray",N00038829,D,TX27,TX,27,Ray Madrigal
"Magee, Carl",N00039110,R,MD02,MD,2,Carl Magee
"Maggitt, Jesse",N00038652,D,IL14,IL,14,Jesse Maggitt
"Mahendra, Bobby",N00039065,D,NVS2,NV,S2,Bobby Mahendra
"Mahn, Todd",N00034721,R,MO08,MO,8,Todd Mahn
"Maio, Danniel",N00028749,R,NY06,NY,6,Danniel Maio
"Makus, Eric John",N00040120,R,WAS2,WA,S2,Eric John Makus
"Malan, John",N00039975,D,WA04,WA,4,John Malan
"Maldonado, David",N00039326,R,TN08,TN,8,David Maldonado
"Malik, Dean",N00031530,R,PA08,PA,8,Dean Malik
"Malik, Rashid",N00039518,D,GA07,GA,7,Rashid Malik
"Malin, Ed",N00040004,R,FL04,FL,4,Ed Malin
"Malliah, Rajit",N00040384,3,NJ06,NJ,6,Rajit Malliah
"Mallory, Prince",N00039581,3,SC06,SC,6,Prince Mallory
"Malloy, Patrick",N00038614,D,CA50,CA,50,Patrick Malloy
"Malnes, Brian",N00039072,I,AZ01,AZ,1,Brian Malnes
"Maloney, Carolyn B",N00000078,D,NY12,NY,12,Carolyn B Maloney
"Maloney, James",N00038590,D,AZ01,AZ,1,James Maloney
"Maloney, Sean Patrick",N00034277,D,NY18,NY,18,Sean Patrick Maloney
"Manchik, Joe",N00039146,3,OH12,OH,12,Joe Manchik
"Maness, Rob",N00035487,R,LAS2,LA,S2,Rob Maness
"Mannino, Len",N00039557,R,NH02,NH,2,Len Mannino
"Mantanona, Nicholas",N00040180,I,TN09,TN,9,Nicholas Mantanona
"Manypenny, Mike",N00039270,D,WV01,WV,1,Mike Manypenny
"Marchant, Kenny",N00026710,R,TX24,TX,24,Kenny Marchant
"Marcus, Jeremy",N00040381,L,NJ04,NJ,4,Jeremy Marcus
"Marie, Lisa",N00036265,R,ID02,ID,2,Lisa Marie
"Marin, Juan Antonio Jr",N00038727,D,NC12,NC,12,Juan Antonio Jr Marin
"Marin, Nancy Trinidad",N00039764,I,CA46,CA,46,Nancy Trinidad Marin
"Marino, Tom",N00031777,R,PA10,PA,10,Tom Marino
"Markowitz, Warren",N00039705,3,NV03,NV,3,Warren Markowitz
"Marks, Stephen",N00038474,R,FL18,FL,18,Stephen Marks
"Marlowe, Hayden",N00038635,R,GA03,GA,3,Hayden Marlowe
"Marone, Kaitlin",N00040301,I,LAS2,LA,S2,Kaitlin Marone
"Marquette, Robert",N00039939,L,NDS1,ND,S1,Robert Marquette
"Marsala, Charles",N00040297,R,LAS2,LA,S2,Charles Marsala
"Marselus, Reggie",N00035236,D,KS03,KS,3,Reggie Marselus
"Marshall, Robert",N00004766,D,IL06,IL,6,Robert Marshall
"Marshall, Roger",N00037034,R,KS01,KS,1,Roger Marshall
"Marsicano, Michael",N00037294,D,PA11,PA,11,Michael Marsicano
"Marter, James",N00038562,R,ILS2,IL,S2,James Marter
"Martin, Andy",N00035510,R,NH02,NH,2,Andy Martin
"Martin, Harvey",N00039996,3,AZ03,AZ,3,Harvey Martin
"Martin, Jack",N00038627,R,FL11,FL,11,Jack Martin
"Martin, Jeff",N00038803,R,TX09,TX,9,Jeff Martin
"Martin, John",N00039030,R,ALS2,AL,S2,John Martin
"Martinez, Donald",N00039774,D,CO05,CO,5,Donald Martinez
"Martinez, Jennifer",N00039528,D,ID02,ID,2,Jennifer Martinez
"Martins, Jack",N00038737,R,NY03,NY,3,Jack Martins
"Martyn, Bryan",N00039485,R,AZ05,AZ,5,Bryan Martyn
"Marx, Angie",N00037302,D,WA03,WA,3,Angie Marx
"Mason, Christopher",N00037280,R,MD06,MD,6,Christopher Mason
"Massie, Thomas",N00034041,R,KY04,KY,4,Thomas Massie
"Mast, Brian",N00037269,R,FL18,FL,18,Brian Mast
"Masto, Catherine Cortez",N00037161,D,NVS2,NV,S2,Catherine Cortez Masto
"Matheson, Flo",N00039839,D,TN06,TN,6,Flo Matheson
"Mathis, Nathan",N00038585,D,AL02,AL,2,Nathan Mathis
"Matory, Liz",N00037523,R,MD08,MD,8,Liz Matory
"Matsui, Doris O",N00027459,D,CA06,CA,6,Doris O Matsui
"Matta, Bill",N00038284,D,TX17,TX,17,Bill Matta
"Matthews, Andy",N00037453,R,NV03,NV,3,Andy Matthews
"Matthews, Kathleen",N00037281,D,MD08,MD,8,Kathleen Matthews
"Matvey, Joe",N00038764,R,OH08,OH,8,Joe Matvey
"Mauck, Eric",N00038825,D,TX26,TX,26,Eric Mauck
"Maul, Skip",N00037131,I,AZS1,AZ,S1,Skip Maul
"Maxwell, Chip",N00036712,R,NE02,NE,2,Chip Maxwell
"Maxwell, Matt",N00038617,R,CT05,CT,5,Matt Maxwell
"May, Donald",N00026095,R,TX19,TX,19,Donald May
"Mayers, Richard",N00038643,3,IL05,IL,5,Richard Mayers
"Mayoras, Steven",N00039784,L,IN04,IN,4,Steven Mayoras
"McAffrey, Al",N00036174,D,OK05,OK,5,Al McAffrey
"McAllister, Lenny",N00035209,R,PA14,PA,14,Lenny McAllister
"McBean, Scott",N00039037,R,AZS1,AZ,S1,Scott McBean
"McCain, Eddie",N00032970,3,SC02,SC,2,Eddie McCain
"McCain, John",N00006424,R,AZS1,AZ,S1,John McCain
"Mccall, Matt",N00039404,R,NC13,NC,13,Matt Mccall
"McCall, Matt",N00035273,R,TX21,TX,21,Matt McCall
"McCarter, Kyle",N00038257,R,IL15,IL,15,Kyle McCarter
"Mccarthy, John",N00039822,I,OK02,OK,2,John Mccarthy
"McCarthy, Kevin",N00028152,R,CA23,CA,23,Kevin McCarthy
"McCaul, Michael",N00026460,R,TX10,TX,10,Michael McCaul
"McClelland, Erin",N00035304,D,PA12,PA,12,Erin McClelland
"McClintock, Tom",N00006863,R,CA04,CA,4,Tom McClintock
"McClure, Bill",N00039511,R,FL04,FL,4,Bill McClure
"McClure, James Jr",N00031924,D,IN09,IN,9,James Jr McClure
"McCluskey, Blake",N00038715,L,MS04,MS,4,Blake McCluskey
"McCollaum, Paul Jr",N00039591,3,UT02,UT,2,Paul Jr McCollaum
"McCollum, Betty",N00012942,D,MN04,MN,4,Betty McCollum
"McConnell, Jonathan",N00038555,R,ALS2,AL,S2,Jonathan McConnell
"McCormick, Kevin",N00039166,3,TX24,TX,24,Kevin McCormick
"McCoy, Dave",N00036854,D,NCS2,NC,S2,Dave McCoy
"McCracken, Tricia Carpenter",N00039523,D,GA12,GA,12,Tricia Carpenter McCracken
"McCullough, William",N00037589,D,FL06,FL,6,William McCullough
"McDermott, George",N00026605,R,MD04,MD,4,George McDermott
"McDermott, Jim",N00034908,L,AK01,AK,1,Jim McDermott
"McDermott, Jim",N00009829,D,WA07,WA,7,Jim McDermott
"McDermott, Joe",N00038857,D,WA07,WA,7,Joe McDermott
"McDermott, John V",N00036858,3,MI09,MI,9,John V McDermott
"McDevitt, David",N00038854,D,WA03,WA,3,David McDevitt
"McDonough, Pat",N00038691,R,MD02,MD,2,Pat McDonough
"McDowell, Jan",N00038290,D,TX24,TX,24,Jan McDowell
"McEachin, Donald",N00039327,D,VA04,VA,4,Donald McEachin
"McFall, Jerald",N00037051,R,NM03,NM,3,Jerald McFall
"McFarland, Jonathan",N00040493,3,MOS1,MO,S1,Jonathan McFarland
"McFarlane, Richard",N00039131,D,NJ11,NJ,11,Richard McFarlane
"McGee, Andrea Leigh",N00035722,R,FL22,FL,22,Andrea Leigh McGee
"McGee, Krystol",N00039860,L,WA05,WA,5,Krystol McGee
"McGill, Shadrack",N00039034,R,ALS2,AL,S2,Shadrack McGill
"McGinty, Katie",N00037566,D,PAS1,PA,S1,Katie McGinty
"McGovern, James",N00040132,D,FL06,FL,6,James McGovern
"McGovern, James P",N00000179,D,MA02,MA,2,James P McGovern
"McGrann, Jack A",N00036819,I,NM02,NM,2,Jack A McGrann
"McGroarty, Colin",N00038653,R,IL16,IL,16,Colin McGroarty
"McGurn, Ken",N00040131,D,FL03,FL,3,Ken McGurn
"McHenry, Patrick",N00026627,R,NC10,NC,10,Patrick McHenry
"McIntosh, Terry",N00040338,I,KY01,KY,1,Terry McIntosh
"McKellar, Shirley",N00033834,D,TX01,TX,1,Shirley McKellar
"McKinley, David",N00031681,R,WV01,WV,1,David McKinley
"McKinley, Doug",N00039974,D,WA04,WA,4,Doug McKinley
"Mckinney, Joseph",N00039421,D,OR04,OR,4,Joseph Mckinney
"McLaughlin, Nathaniel",N00038674,D,KS03,KS,3,Nathaniel McLaughlin
"Mclendon, Guy",N00040248,L,LA03,LA,3,Guy Mclendon
"McLeod, Johnny",N00038709,3,MS02,MS,2,Johnny McLeod
"Mcmasters, Thomas",N00039571,I,OH10,OH,10,Thomas Mcmasters
"McMichael, Craig",N00035329,R,TX08,TX,8,Craig McMichael
"McMillen, Kent",N00040366,L,ILS2,IL,S2,Kent McMillen
"McMullin, Evan",N00040318,I,PRES,PR,ES,Evan McMullin
"McNabney, Matthew",N00039959,D,MO06,MO,6,Matthew McNabney
"McNeil, John",N00038728,D,NC02,NC,2,John McNeil
"McNerney, Jerry",N00026926,D,CA09,CA,9,Jerry McNerney
"McNicholas, Mark",N00039227,R,MDS2,MD,S2,Mark McNicholas
"McNulty, Terry",N00039181,R,WI08,WI,8,Terry McNulty
"McRedmond, Michael",N00040428,L,CO05,CO,5,Michael McRedmond
"McSally, Martha",N00033982,R,AZ02,AZ,2,Martha McSally
"Mcteague, Dave",N00039318,D,OR05,OR,5,Dave Mcteague
"Meadows, Mark R",N00033631,R,NC11,NC,11,Mark R Meadows
"Mealer, John Lewis",N00033559,I,AZS1,AZ,S1,John Lewis Mealer
"Meehan, Patrick",N00031134,R,PA07,PA,7,Patrick Meehan
"Meeks, Gregory W",N00001171,D,NY05,NY,5,Gregory W Meeks
"Meena, Jack",N00038868,I,WY01,WY,1,Jack Meena
"Meer, Edward",N00038759,R,OH08,OH,8,Edward Meer
"Mehaffey, Sam",N00038286,R,TX19,TX,19,Sam Mehaffey
"Meisterlin, Scott",N00039766,R,CA50,CA,50,Scott Meisterlin
"Mejia, Kenneth",N00039754,D,CA34,CA,34,Kenneth Mejia
"Mellon, Rob",N00028428,D,IL18,IL,18,Rob Mellon
"Meluskey, Alex",N00037230,R,AZS1,AZ,S1,Alex Meluskey
"Menconi, Arn",N00040111,3,COS1,CO,S1,Arn Menconi
"Mendenhall, David",N00037590,I,FL23,FL,23,David Mendenhall
"Mendoza, Ben",N00027936,D,TX16,TX,16,Ben Mendoza
"Mendoza, M V",N00027326,D,LAS2,LA,S2,M V Mendoza
"Mendoza, Matt",N00037022,R,CA53,CA,53,Matt Mendoza
"Meng, Grace",N00034547,D,NY06,NY,6,Grace Meng
"Mensing, Dale Kenneth",N00035352,R,CA02,CA,2,Dale Kenneth Mensing
"Mercado, Juan",N00039768,D,CA51,CA,51,Juan Mercado
"Merced, Alex",N00040117,L,NYS2,NY,S2,Alex Merced
"Mercer, Jay",N00040036,R,NH02,NH,2,Jay Mercer
"Merritt, Paul",N00039925,I,CAS1,CA,S1,Paul Merritt
"Messer, Luke",N00012546,R,IN06,IN,6,Luke Messer
"Metcalfe, Ray",N00028529,D,AKS2,AK,S2,Ray Metcalfe
"Mettler, Ken",N00039492,R,CA23,CA,23,Ken Mettler
"Meyer, John",N00039239,R,IN01,IN,1,John Meyer
"Mica, John L",N00002793,R,FL07,FL,7,John L Mica
"Michaels, Barry",N00027885,D,NV03,NV,3,Barry Michaels
"Mike, the Mover",N00007835,R,WAS2,WA,S2,the Mover Mike
"Mikkelson, Harley",N00025775,3,MI05,MI,5,Harley Mikkelson
"Millard, Andy",N00036942,D,NC10,NC,10,Andy Millard
"Miller, Darlene",N00038697,R,MN02,MN,2,Darlene Miller
"Miller, Jeff",N00039702,R,NV01,NV,1,Jeff Miller
"Miller, Jeff",N00013846,R,FL01,FL,1,Jeff Miller
"Miller, Joanne",N00032956,I,NJ10,NJ,10,Joanne Miller
"Miller, Kevin",N00039801,D,MO03,MO,3,Kevin Miller
"Miller, Rick",N00039690,D,NC12,NC,12,Rick Miller
"Miller, Robert",N00039489,R,CA12,CA,12,Robert Miller
"Mills, Chip",N00036924,R,MS01,MS,1,Chip Mills
"Mills, John",N00036491,R,TN08,TN,8,John Mills
"Mills, John",N00039506,R,FL01,FL,1,John Mills
"Mills, Stewart",N00035443,R,MN08,MN,8,Stewart Mills
"Mills, Thomas",N00038724,D,NC08,NC,8,Thomas Mills
"Milne, Scott",N00040118,R,VTS2,VT,S2,Scott Milne
"Milstein, Lyle",N00040010,I,FL23,FL,23,Lyle Milstein
"Miniear, J D",N00033888,R,IN07,IN,7,J D Miniear
"Mirza, Ali",N00038745,D,NY05,NY,5,Ali Mirza
"Mitchell, Cassandra J",N00036475,I,TN03,TN,3,Cassandra J Mitchell
"Mitchell, Monte",N00033928,R,TX33,TX,33,Monte Mitchell
"Mitchell, Paul",N00036274,R,MI10,MI,10,Paul Mitchell
"Mix, Richard",N00038663,R,GA03,GA,3,Richard Mix
"Moeller, Jim",N00040051,D,WA03,WA,3,Jim Moeller
"Moffatt, Jeffrey",N00039747,R,CA25,CA,25,Jeffrey Moffatt
"Moharir, Mukund Martand",N00037409,I,CAS1,CA,S1,Mukund Martand Moharir
"Molesevich, Michael",N00040143,D,PA10,PA,10,Michael Molesevich
"Molnar, Robert",N00036900,R,CAS1,CA,S1,Robert Molnar
"Molyett, Matthew",N00036271,D,MD03,MD,3,Matthew Molyett
"Monchil, Russ",N00034719,L,MO06,MO,6,Russ Monchil
"Monroe, Mike",N00028628,R,NV04,NV,4,Mike Monroe
"Montague, Adrian",N00040044,I,TN08,TN,8,Adrian Montague
"Montague, Adrian M.",N00039850,I,TN08,TN,8,Adrian M. Montague
"Montes, Joseph",N00039074,R,CA01,CA,1,Joseph Montes
"Moolenaar, John",N00036275,R,MI04,MI,4,John Moolenaar
"Mooney, Alex",N00033814,R,WV02,WV,2,Alex Mooney
"Mooney, Patrick",N00039085,R,FL06,FL,6,Patrick Mooney
"Moore, Gwen",N00026914,D,WI04,WI,4,Gwen Moore
"Moore, Rodney",N00035447,D,NC12,NC,12,Rodney Moore
"Moran, Jeff",N00039084,R,FL02,FL,2,Jeff Moran
"Moran, Jerry",N00005282,R,KSS2,KS,S2,Jerry Moran
"Morckel, Richard A.",N00039148,R,OH13,OH,13,Richard A. Morckel
"Morgan, Delinda",N00033652,R,OR01,OR,1,Delinda Morgan
"Morgan, Yuripzy",N00038430,R,MD02,MD,2,Yuripzy Morgan
"Morning, John",N00037266,R,FL07,FL,7,John Morning
"Morris, Gerald",N00039078,R,CA23,CA,23,Gerald Morris
"Morrison, Terrance",N00037605,D,MI14,MI,14,Terrance Morrison
"Morrow, John",N00008363,R,IL02,IL,2,John Morrow
"Morse, Chris",N00039795,R,MI09,MI,9,Chris Morse
"Morse, Nicholas",N00038413,R,CO02,CO,2,Nicholas Morse
"Moss, Richard",N00038672,R,IN08,IN,8,Richard Moss
"Moss, Vanessa",N00039535,D,MI14,MI,14,Vanessa Moss
"Moulton, Martin",N00040333,L,DC00,DC,0,Martin Moulton
"Moulton, Seth",N00035431,D,MA06,MA,6,Seth Moulton
"Mowery, Tod",N00037181,R,FL18,FL,18,Tod Mowery
"Mowinski, Bernie",N00039934,R,MOS1,MO,S1,Bernie Mowinski
"Mowrer, Jim",N00035416,D,IA03,IA,3,Jim Mowrer
"Mulford, Rob",N00040410,I,AKS2,AK,S2,Rob Mulford
"Mullin, Markwayne",N00033410,R,OK02,OK,2,Markwayne Mullin
"Mulvaney, Mick",N00031412,R,SC05,SC,5,Mick Mulvaney
"Mundy, Keith",N00039150,D,OH16,OH,16,Keith Mundy
"Munro, Patrick",N00036687,R,MN06,MN,6,Patrick Munro
"Munroe, Massie",N00034665,D,CAS1,CA,S1,Massie Munroe
"Murdock, Brett",N00038248,D,CA39,CA,39,Brett Murdock
"Murkowski, Lisa",N00026050,R,AKS2,AK,S2,Lisa Murkowski
"Muroff, Dan",N00037529,D,PA02,PA,2,Dan Muroff
"Murphy, Daniel",N00040218,I,FL04,FL,4,Daniel Murphy
"Murphy, Dennis B",N00039307,D,MI02,MI,2,Dennis B Murphy
"Murphy, John",N00037619,R,TX21,TX,21,John Murphy
"Murphy, Pat",N00035289,D,IA01,IA,1,Pat Murphy
"Murphy, Patrick",N00033091,D,FLS2,FL,S2,Patrick Murphy
"Murphy, Robert T",N00005531,L,OKS1,OK,S1,Robert T Murphy
"Murphy, Stephanie",N00040133,D,FL07,FL,7,Stephanie Murphy
"Murphy, Tim",N00024992,R,PA18,PA,18,Tim Murphy
"Murray, Patty",N00007876,D,WAS2,WA,S2,Patty Murray
"Musante, Marcus",N00037177,D,CA44,CA,44,Marcus Musante
"Myers, Gary",N00039654,I,CAS1,CA,S1,Gary Myers
"Myers, Kim",N00039317,D,NY22,NY,22,Kim Myers
"Myhra, Pam",N00038265,R,MN02,MN,2,Pam Myhra
"Myrickes, Dorian",N00038642,D,IL02,IL,2,Dorian Myrickes
"Nadler, Jerrold",N00000939,D,NY10,NY,10,Jerrold Nadler
"Nana, Charles",N00039033,D,ALS2,AL,S2,Charles Nana
"Nance, Kathryn",N00036930,R,CA09,CA,9,Kathryn Nance
"Napolitano, Grace",N00006789,D,CA32,CA,32,Grace Napolitano
"Narvaiz, Susan",N00033667,R,TX35,TX,35,Susan Narvaiz
"Nasiri, Mohammad Abous Sabur",N00038568,I,NCS2,NC,S2,Mohammad Abous Sabur Nasiri
"Nathan, Bruce",N00037399,I,FLS2,FL,S2,Bruce Nathan
"Natividad, Jerry",N00039469,R,COS1,CO,S1,Jerry Natividad
"Naughton, Shaughnessy",N00035377,D,PA08,PA,8,Shaughnessy Naughton
"Navarro, Omar",N00037584,R,CA43,CA,43,Omar Navarro
"Navickas, Eric",N00040415,3,ORS2,OR,S2,Eric Navickas
"Nazarino, Scott",N00040119,R,WAS2,WA,S2,Scott Nazarino
"Neal, Richard E",N00000153,D,MA01,MA,1,Richard E Neal
"Neeld, Robert M Jr",N00026782,D,FL19,FL,19,Robert M Jr Neeld
"Neely, Charles",N00036781,I,AR02,AR,2,Charles Neely
"Neff, William Boyd",N00040555,I,PA16,PA,16,William Boyd Neff
"Negron, Rebecca",N00037025,R,FL18,FL,18,Rebecca Negron
"Nehlen, Paul",N00039601,R,WI01,WI,1,Paul Nehlen
"Nelson, Daniel Roy",N00025531,R,MO07,MO,7,Daniel Roy Nelson
"Nelson, James",N00039964,R,MO07,MO,7,James Nelson
"Nelson, Tom",N00039605,D,WI08,WI,8,Tom Nelson
"Neu, James",N00039142,D,OH05,OH,5,James Neu
"Neugebauer, Randy",N00026043,R,TX19,TX,19,Randy Neugebauer
"Neville, Tim",N00038395,R,COS1,CO,S1,Tim Neville
"Newell, Casey",N00039556,R,NH02,NH,2,Casey Newell
"Newhouse, Dan",N00036403,R,WA04,WA,4,Dan Newhouse
"Newton, William",N00037600,I,MD07,MD,7,William Newton
"Nguyen, Bao",N00037441,D,CA46,CA,46,Bao Nguyen
"Nichols, Kristi",N00032147,R,MOS1,MO,S1,Kristi Nichols
"Nickerson, Zachary Michael",N00039828,I,PA03,PA,3,Zachary Michael Nickerson
"Nightenhelser, Todd",N00037521,D,IN03,IN,3,Todd Nightenhelser
"Nikolova, Staniela",N00039526,D,ID01,ID,1,Staniela Nikolova
"Nikpour, Noelle",N00037517,R,FL18,FL,18,Noelle Nikpour
"Noble, Sandra Queen",N00038398,3,CA08,CA,8,Sandra Queen Noble
"Noem, Kristi",N00032022,R,SD01,SD,1,Kristi Noem
"Nofs, Benjamin",N00040340,3,MI10,MI,10,Benjamin Nofs
"Nogales-Molinelli, Mariana",N00039573,3,PR00,PR,0,Mariana Nogales-Molinelli
"Nolan, Rick",N00021207,D,MN08,MN,8,Rick Nolan
"Noland, Michael",N00037250,D,IL08,IL,8,Michael Noland
"Nolin, Joyce",N00039522,D,GA12,GA,12,Joyce Nolin
"Norcross, Don",N00036154,D,NJ01,NJ,1,Don Norcross
"Norris, Chuck",N00021222,D,CO01,CO,1,Chuck Norris
"Norris, Phil",N00033875,R,AL04,AL,4,Phil Norris
"North, Doug",N00036542,R,MI07,MI,7,Doug North
"Norton, Eleanor Holmes",N00001692,D,DC00,DC,0,Eleanor Holmes Norton
"Novak, Daria",N00030734,R,CT02,CT,2,Daria Novak
"Nuchims, Paul L.",N00040059,D,WA06,WA,6,Paul L. Nuchims
"Nugent, Richard",N00032441,R,FL11,FL,11,Richard Nugent
"Nunes, Devin",N00007248,R,CA22,CA,22,Devin Nunes
"Nunez, Evangeline Martinez",N00039733,R,AZ07,AZ,7,Evangeline Martinez Nunez
"O'Briant, Liddo Susan",N00039728,D,NVS2,NV,S2,Liddo Susan O'Briant
"O'Connor, Shawn",N00036943,I,NH01,NH,1,Shawn O'Connor
"O'Halleran, Tom",N00037515,D,AZ01,AZ,1,Tom O'Halleran
"O'Hara, Shawn",N00031956,3,MS04,MS,4,Shawn O'Hara
"O'Malley, Martin",N00037007,D,PRES,PR,ES,Martin O'Malley
"O'Malley, Tom",N00038689,R,MA09,MA,9,Tom O'Malley
"O'Neill, Dan",N00040387,L,NJ07,NJ,7,Dan O'Neill
"O'Reilly, Michael",N00039567,R,NY05,NY,5,Michael O'Reilly
"O'Rourke, Beto",N00033540,D,TX16,TX,16,Beto O'Rourke
"Ocasio, Javier",N00039306,D,HI01,HI,1,Javier Ocasio
"Oceguera, John",N00033404,D,NV04,NV,4,John Oceguera
"Oliva, Phil",N00038749,R,NY18,NY,18,Phil Oliva
"Olivas, Miguel",N00013843,D,AZ01,AZ,1,Miguel Olivas
"Oliver, Craig S",N00006355,D,UTS2,UT,S2,Craig S Oliver
"Olivera, Pablo",N00035096,I,NJ08,NJ,8,Pablo Olivera
"Oliverio, Pierluigi",N00039381,D,CA17,CA,17,Pierluigi Oliverio
"Olree, Brock",N00038587,R,AR02,AR,2,Brock Olree
"Olsen, Norm",N00025870,L,CO06,CO,6,Norm Olsen
"Olson, Justin",N00039378,R,AZ05,AZ,5,Justin Olson
"Olson, Pete",N00029285,R,TX22,TX,22,Pete Olson
"Orchulli, Jack C",N00026747,R,CTS2,CT,S2,Jack C Orchulli
"Ordille, John",N00035210,L,NJ02,NJ,2,John Ordille
"Orentlicher, David",N00029512,D,IN08,IN,8,David Orentlicher
"Orlando, Matthew",N00039956,L,MI09,MI,9,Matthew Orlando
"Orlinski, John",N00030378,R,WA01,WA,1,John Orlinski
"Orswell, Jack",N00034310,R,CA27,CA,27,Jack Orswell
"Ortega, Gustavo",N00036892,D,AZ07,AZ,7,Gustavo Ortega
"Ortiz, Sylvia",N00039759,D,CA44,CA,44,Sylvia Ortiz
"Orton, Bill",N00037413,D,CA44,CA,44,Bill Orton
"Osborne, Tom",N00038675,D,KY01,KY,1,Tom Osborne
"Osborne, Walter",N00037496,3,FLS2,FL,S2,Walter Osborne
"Oshins, Jeff",N00039079,D,CA24,CA,24,Jeff Oshins
"Osment, Jonathan Ray",N00040170,L,MI11,MI,11,Jonathan Ray Osment
"Ostrander, Bill",N00037013,D,CA24,CA,24,Bill Ostrander
"Ostrov, Shirlene",N00040140,R,HI01,HI,1,Shirlene Ostrov
"Ostrowski, Andrew J",N00005092,I,PAS1,PA,S1,Andrew J Ostrowski
"Otto, Bill",N00037189,D,MO02,MO,2,Bill Otto
"Otto, Mark",N00038723,R,NC07,NC,7,Mark Otto
"Owen, Christina",N00039825,D,OK04,OK,4,Christina Owen
"Owens, Doug",N00036011,D,UT04,UT,4,Doug Owens
"Owens, Jacob",N00038704,D,MS01,MS,1,Jacob Owens
"Oxley, Gary",N00034605,R,CA01,CA,1,Gary Oxley
"Paad, Paul",N00040074,R,WY01,WY,1,Paul Paad
"Pace, Jim",N00038664,R,GA03,GA,3,Jim Pace
"Pahlke, Elizabeth Diane",N00039049,R,ILS2,IL,S2,Elizabeth Diane Pahlke
"Painter, Harold",N00035898,R,MD06,MD,6,Harold Painter
"Pakootas, Joe",N00035766,D,WA05,WA,5,Joe Pakootas
"Palacios, Art",N00039675,R,CO05,CO,5,Art Palacios
"Palacios, Juan Jr",N00038808,D,TX15,TX,15,Juan Jr Palacios
"Palazzo, Steven",N00031958,R,MS04,MS,4,Steven Palazzo
"Pallone, Frank Jr",N00000781,D,NJ06,NJ,6,Frank Jr Pallone
"Palmer, Gary",N00035691,R,AL06,AL,6,Gary Palmer
"Palsson, Nils",N00039379,D,CA05,CA,5,Nils Palsson
"Palzer, Tom",N00037157,R,CAS1,CA,S1,Tom Palzer
"Panetta, Jimmy",N00038601,D,CA20,CA,20,Jimmy Panetta
"Pape, Michael",N00038261,R,KY01,KY,1,Michael Pape
"Pappas, George",N00038622,D,FL06,FL,6,George Pappas
"Parker, Gail",N00032976,I,VA01,VA,1,Gail Parker
"Parker, John",N00039918,3,CAS1,CA,S1,John Parker
"Parra, Daniel",N00037012,D,CA21,CA,21,Daniel Parra
"Parrish, Don",N00038458,R,TX19,TX,19,Don Parrish
"Parrish, Mike",N00035958,D,PA06,PA,6,Mike Parrish
"Parrish, Ray",N00040236,3,AZ01,AZ,1,Ray Parrish
"Partsch, James Galvan",N00039170,3,TX29,TX,29,James Galvan Partsch
"Pascrell, Bill Jr",N00000751,D,NJ09,NJ,9,Bill Jr Pascrell
"Pasick, David Matthew",N00040174,L,NY22,NY,22,David Matthew Pasick
"Pataki, George",N00028981,R,PRES,PR,ES,George Pataki
"Pate, Ava",N00038816,R,TX18,TX,18,Ava Pate
"Pate, Page Anthony",N00039472,D,GAS2,GA,S2,Page Anthony Pate
"Patel, Abhay",N00039931,R,LAS2,LA,S2,Abhay Patel
"Patel, Ravi",N00036933,D,IA01,IA,1,Ravi Patel
"Paterson, Clark",N00035104,L,TX17,TX,17,Clark Paterson
"Patrick, Bradley",N00040234,I,FLS2,FL,S2,Bradley Patrick
"Patrick, Patrea",N00039298,D,CA30,CA,30,Patrea Patrick
"Patterson, Ralph",N00038815,R,TX17,TX,17,Ralph Patterson
"Patterson, Robert W",N00038437,R,NJ01,NJ,1,Robert W Patterson
"Patty, Brandon",N00038623,R,FL06,FL,6,Brandon Patty
"Paul, Rand",N00030836,R,KYS2,KY,S2,Rand Paul
"Paulsen, Erik",N00029391,R,MN03,MN,3,Erik Paulsen
"Pavlov, Phil",N00036986,R,MI10,MI,10,Phil Pavlov
"Pawlowski, Ed",N00037162,D,PAS1,PA,S1,Ed Pawlowski
"Payne, Donald M Jr",N00034639,D,NJ10,NJ,10,Donald M Jr Payne
"Payne, Tom",N00039271,D,WV02,WV,2,Tom Payne
"Pearce, Steve",N00012672,R,NM02,NM,2,Steve Pearce
"Pearson, Cecil Jr",N00035203,D,KYS2,KY,S2,Cecil Jr Pearson
"Pearson, Erika Stotts",N00039845,D,TN08,TN,8,Erika Stotts Pearson
"Pearson, Michael",N00038404,D,MDS2,MD,S2,Michael Pearson
"Peavler, Bruce",N00039098,D,IN06,IN,6,Bruce Peavler
"Peiro, Maria",N00040166,R,FL27,FL,27,Maria Peiro
"Peixoto, Jose F",N00039514,R,FL26,FL,26,Jose F Peixoto
"Pellerin, Josh",N00039662,D,LAS2,LA,S2,Josh Pellerin
