CRPName,CID,Party,DistIDRunFor,State,District
"Mercer, Gabriela Saucedo",N00033037,R,AZ03,AZ,3
"Merkley, Jeff",N00029303,D,ORS1,OR,S1
"Mero, Travis",N00036795,L,CO03,CO,3
"Metcalfe, Margaret",N00036713,R,GU00,GU,0
"Meyer, Chuck",N00033005,R,TX36,TX,36
"Meyer, Randall",N00036837,I,VT01,VT,1
"Meyer, Robert H",N00036696,I,HI01,HI,1
"Meyer, Ron",N00035308,R,VA11,VA,11
"Meyers, Larry",N00036385,R,UT02,UT,2
"Meyers, Vic",N00035513,D,CO04,CO,4
"Meynardie, Kevin",N00035290,R,VA02,VA,2
"Michaud, Mike",N00024770,D,ME02,ME,2
"Midbust, Kevin",N00036588,R,WA04,WA,4
"Mike, the Mover",N00007835,I,WA01,WA,1
"Mikkelson, Harley",N00025775,3,MI10,MI,10
"Milakovich, Marko",N00036522,I,FL09,FL,9
"Miles, Steen",N00035655,D,GAS1,GA,S1
"Milholland, Doug",N00025830,3,WA06,WA,6
"Miller, Aaron",N00035611,R,MN01,MN,1
"Miller, Benjamin",N00035831,D,CA43,CA,43
"Miller, Bert",N00035726,R,IL11,IL,11
"Miller, Bryan",N00036695,R,WYS2,WY,S2
"Miller, Candice S",N00009795,R,MI10,MI,10
"Miller, Eric",N00036856,L,IN06,IN,6
"Miller, Gary",N00006954,R,CA31,CA,31
"Miller, George",N00007390,D,CA11,CA,11
"Miller, Jeffrey S",N00036074,D,IN09,IN,9
"Miller, Joe",N00032555,R,AKS1,AK,S1
"Miller, Matthew Louis",N00036215,D,CA33,CA,33
"Miller, Selina R",N00035938,D,OH03,OH,3
"Miller-Meeks, Mariannette",N00029495,R,IA02,IA,2
"Milonopoulos, Theo",N00036729,3,CA33,CA,33
"Minor, Frank",N00036324,D,NJ01,NJ,1
"Minor, Louie",N00035464,D,TX31,TX,31
"Minter, Michael",N00035758,D,TX13,TX,13
"Misiuk, Isaac",N00035604,R,ME01,ME,1
"Mitchell, James",N00036220,D,NC12,NC,12
"Mitchell, Nels",N00036041,D,IDS1,ID,S1
"Mitchell, Paul",N00036274,R,MI04,MI,4
"Mitchum, Christopher",N00033368,R,CA24,CA,24
"Miyamoto, Hannah Stephanie",N00035581,D,HI01,HI,1
"Moats, Ed",N00036190,R,WA01,WA,1
"Modarres, Shayan",N00035714,D,FL10,FL,10
"Moffly, Elizabeth",N00035253,R,SC01,SC,1
"Moll, Thomas",N00035533,R,AR04,AR,4
"Montchalin, Mike",N00036610,L,ORS1,OR,S1
"Montigel, Bob",N00034502,D,GA06,GA,6
"Montilla, Nestor",N00036770,I,NJ09,NJ,9
"Montoya, Marco",N00005988,D,TX25,TX,25
"Moore, Art",N00036232,R,CA04,CA,4
"Moore, Johnny",N00036072,D,CA49,CA,49
"Moore, Matt",N00034707,D,AK01,AK,1
"Moore, Matt",N00035184,D,MS04,MS,4
"Moore, Sidney",N00036478,D,SCS1,SC,S1
"Moorlach, John",N00035708,R,CA45,CA,45
"Moran, David",N00028833,L,WV01,WV,1
"Moran, Jim",N00002083,D,VA08,VA,8
"Morel, Emmanuel G",N00035212,D,FL21,FL,21
"Moreno, Monti",N00004441,R,MNS1,MN,S1
"Morrell, Kim",N00033840,R,TX36,TX,36
"Morris, Jay",N00035594,R,LA05,LA,5
"Morris, John",N00036450,R,MO03,MO,3
"Morris, Toni",N00033899,D,NC02,NC,2
"Morrison, Dan",N00034367,D,IN02,IN,2
"Morton, Maurice",N00035902,D,MI14,MI,14
"Moser-Bartlett, Paula",N00036520,I,FL04,FL,4
"Mosher, Norm",N00036649,D,VA01,VA,1
"Moss, Chuck",N00036209,R,VAS2,VA,S2
"Moss, Jim",N00035805,R,WV02,WV,2
"Mottus, Kevin",N00036504,R,CA33,CA,33
"Mowrer, Jim",N00035416,D,IA04,IA,4
"Moye, Rob",N00036604,R,OKS2,OK,S2
"Moylan, David",N00035634,R,PA17,PA,17
"Mrozinski, Larry",N00035545,R,GA11,GA,11
"Mueller, Karen",N00036590,R,WI03,WI,3
"Muhammad, Fatimah N",N00035232,D,IL02,IL,2
"Mullins, Ray",N00036279,D,MI12,MI,12
"Mullis, Barbara Jo",N00036374,D,SC03,SC,3
"Mulvaney, Barbara",N00035826,D,CA33,CA,33
"Munro, Patrick",N00036687,R,MNS1,MN,S1
"Murphy, Brian",N00036453,D,NJ11,NJ,11
"Murphy, Patrick",N00033091,D,FL18,FL,18
"Murphy, Richard",N00036078,I,ME01,ME,1
"Murphy, Robert T",N00005531,L,OK05,OK,5
"Murray, Robert",N00034492,R,CA19,CA,19
"Murray, Tim",N00034117,R,OK03,OK,3
"Muscu, Anantha Reddy",N00036883,I,GAS1,GA,S1
"Mussack, Michael",N00036500,I,CA25,CA,25
"Najarian, Nancy",N00036185,D,VA08,VA,8
"Nash, Ray",N00035255,R,SC01,SC,1
"Nazario, Noel Jaime",N00036647,I,OH09,OH,9
"Nelson, Goodspaceguy",N00030375,3,WA07,WA,7
"Nelson, Stace",N00035687,R,SDS2,SD,S2
"Neree, Dufirstson",N00027570,R,FL24,FL,24
"Nestande, Brian",N00035336,R,CA36,CA,36
"Netherwood, Ray",N00031469,L,FL19,FL,19
"Neuman, Scott",N00036758,3,NJ04,NJ,4
"Neuman, Wes",N00035849,D,FL07,FL,7
"Newbry, Janea Holmquist",N00036404,R,WA04,WA,4
"Newman, Joe",N00036526,I,FL16,FL,16
"Nick, Adam",N00036512,R,CA46,CA,46
"Niemeyer, Bob",N00036360,R,OR01,OR,1
"Nolte, Don",N00036654,R,VT01,VT,1
"Norman, David",N00036008,R,TX36,TX,36
"Novinec, Al",N00034617,R,NC03,NC,3
"Nunn, Michelle",N00035480,D,GAS1,GA,S1
"Nunnelee, Alan",N00031006,R,MS01,MS,1
"O'Brien, Bill",N00035452,R,NH02,NH,2
"O'brien, David",N00004243,D,IA01,IA,1
"O'Donnell, Jim",N00036572,D,NY27,NY,27
"O'Hara, Shawn",N00003338,3,MSS1,MS,S1
"O'Neal, Aaron",N00035665,R,NCS1,NC,S1
"Obagi, Zein",N00034389,D,CA33,CA,33
"Obermueller, Mike",N00034629,D,MN02,MN,2
"Oberweis, James D",N00024894,R,ILS1,IL,S1
"Oehlrich, Don",N00036253,R,FL07,FL,7
"Olabisi, Bayo",N00036771,I,NJ02,NJ,2
"Oliver, Bill",N00031808,L,TX17,TX,17
"Oliver, Sheila",N00035495,D,NJS2,NJ,S2
"Olsen, Randall",N00035584,D,IL16,IL,16
"Olson, Nancy",N00036663,R,WI06,WI,6
"Orman, Greg",N00029613,I,KSS1,KS,S1
"Ortega, Gustavo",N00036892,I,AZ07,AZ,7
"Ortman, Julianne",N00035529,R,MNS1,MN,S1
"Osborn, Shane",N00035493,R,NES2,NE,S2
"Osborne, Curtis",N00035450,D,NC12,NC,12
"Ose, Doug",N00007581,R,CA07,CA,7
"Ostrowski, Andrew J",N00005092,D,PA11,PA,11
"Overby, Lucas",N00035277,L,FL13,FL,13
"Overby, Paula",N00035612,3,MN02,MN,2
"Owens, Bill",N00031011,D,NY21,NY,21
"Owens, Michael",N00035864,D,GA13,GA,13
"Paddock, Rebecca",N00036063,L,TXS1,TX,S1
"Padilla, Jose",N00036159,R,NV01,NV,1
"Page, Danny",N00035671,R,TNS2,TN,S2
"Page, Nathan",N00035952,R,OR05,OR,5
"Pahlke, Liz",N00035302,I,IL02,IL,2
"Palma, Annabel",N00036161,D,NY15,NY,15
"Palomares-Starbuck, Lorenzo",N00035578,R,FL26,FL,26
"Palumbo, Joe",N00035427,D,KY06,KY,6
"Panifi, Sara Jane",N00035846,L,DC00,DC,0
"Panjhazari, Gagan",N00035981,D,TX14,TX,14
"Parachuri, Tanuja",N00036062,L,TXS1,TX,S1
"Parker, Dennis L",N00031630,R,NE01,NE,1
"Parker, Gail",N00032976,3,VA01,VA,1
"Parker, Vernon",N00031586,R,AZ09,AZ,9
"Parrish, Phillip",N00036050,R,MNS1,MN,S1
"Partain, Johnny",N00034564,L,TX15,TX,15
"Pastor, Ed",N00006397,D,AZ07,AZ,7
"Pastorius, David Allen",N00036822,I,OH13,OH,13
"Patel, Ragive",N00036313,D,NC12,NC,12
"Paterson, Clark",N00035104,L,TX01,TX,1
"Patrick, Andy",N00035247,R,SC01,SC,1
"Patrick, Suzanne",N00035640,D,VA02,VA,2
"Patterson, David",N00036772,L,KYS1,KY,S1
"Patton, Daniel Manuel",N00035459,D,OH16,OH,16
"Paul, Dierdre",N00036328,R,NJ09,NJ,9
"Pavilack, Harold",N00034436,D,SCS1,SC,S1
"Payne, Chris",N00036046,R,KYS1,KY,S1
"Pearson, Michael",N00036714,I,MD07,MD,7
"Peck, Lowell B",N00036405,R,WA04,WA,4
"Pederson, John",N00035441,R,MN06,MN,6
"Peiser, Dave",N00035567,D,CA49,CA,49
"Pekarek, Thomas",N00021580,R,OH13,OH,13
"Percefull, Janis K",N00035386,D,AR04,AR,4
"Perdue, David",N00035516,R,GAS1,GA,S1
"Perez, Frank",N00036003,D,TX32,TX,32
"Perkins, Jo Rae",N00035512,R,ORS1,OR,S1
"Perske, Joe",N00035903,D,MN06,MN,6
"Petermann, Jeff",N00036800,L,IN02,IN,2
"Peters, Gary",N00029277,D,MIS1,MI,S1
"Peters, Herb",N00034600,D,NV01,NV,1
"Peters, Kathleen",N00035796,R,FL13,FL,13
"Peterson, Bill",N00036394,D,UT04,UT,4
"Peterson, David",N00030903,D,CA12,CA,12
"Peterson, Richard",N00026126,L,TX19,TX,19
"Petri, Tom",N00004426,R,WI06,WI,6
"Petty, Ken",N00035975,L,TX08,TX,8
"Pezzullo, Rich",N00000775,R,NJS2,NJ,S2
"Pfleegor, Scott",N00036747,I,ARS1,AR,S1
"Phillip, Dan",N00036168,I,OH07,OH,7
"Phillips, Bartholomew J",N00036437,I,TNS2,TN,S2
"Phillips, Jeff",N00036278,R,MI10,MI,10
"Phillips, Jeff",N00031973,R,NC06,NC,6
"Pierce, E Ray",N00035886,D,KY03,KY,3
"Pierce, Harry",N00029747,R,TX03,TX,3
"Pierson, Katrina",N00035638,R,TX32,TX,32
"Piliere, Frank",N00036024,I,VA10,VA,10
"Pinkston, Shawn",N00035254,R,SC01,SC,1
"Pivnick, Lawrence",N00036480,D,TN08,TN,8
"Pivoda, Emily",N00035979,L,TX13,TX,13
"Platt, Carol",N00035378,R,FL09,FL,9
"Pleasant, Martin",N00034992,3,TNS2,TN,S2
"Plosa-Bowser, Beverly",N00035751,R,PA13,PA,13
"Poetter, Tom",N00035746,D,OH08,OH,8
"Polak, Mike",N00036618,R,AZ03,AZ,3
"Poliak, Carlo",N00027086,R,NV04,NV,4
"Pollchik, Howard",N00036124,D,IN04,IN,4
"Pollock, Ben",N00035750,R,OR05,OR,5
"Poore, Meshea",N00035468,D,WV02,WV,2
"Porambo, Joe",N00036853,L,WYS2,WY,S2
"Porter, Ronald L",N00036742,3,CA23,CA,23
"Potter, Tom",N00036142,R,MD05,MD,5
"Powe, Sharon",N00035520,R,AL01,AL,1
"Powelson, Michael",N00034667,3,CA30,CA,30
"Powers, Amos Scott",N00035323,D,TN06,TN,6
"Pressler, Larry",N00004565,I,SDS2,SD,S2
"Pridemore, Tricia",N00035407,R,GA11,GA,11
"Privett, Victor",N00035659,D,KYS1,KY,S1
"Procarione, Sherry",N00036682,R,ILS1,IL,S1
"Pross, Gordon",N00007956,R,WA04,WA,4
"Pruden, Calvin",N00036893,I,MI14,MI,14
"Prues, Jim",N00035455,D,OH01,OH,1
"Pryor, Mark",N00013823,D,ARS1,AR,S1
"Puccetti, Gregory",N00036754,I,KY03,KY,3
"Puentes, J R",N00035562,D,CA25,CA,25
"Purl, Doug",N00031544,L,TX34,TX,34
"Quang, Tue Phan",N00035812,R,CA11,CA,11
"Quast, Bob",N00036597,I,IAS2,IA,S2
"Quick, Mark D",N00032951,I,NJ05,NJ,5
"Quinones, Issac II",N00035542,D,OH09,OH,9
"Rab, Aejaz",N00036728,3,CA30,CA,30
"Rabel, Edward Lawrence Jr",N00036410,I,WV02,WV,2
"Radel, Trey",N00034017,R,FL19,FL,19
"Rader, John Paul",N00036476,R,TN01,TN,1
"Radulovacki, Branko",N00035358,D,GAS1,GA,S1
"Rahall, Nick",N00002198,D,WV03,WV,3
"Railey, Curtis",N00033967,I,AL01,AL,1
"Rainwater, Marilyn",N00035947,D,OK05,OK,5
"Raley, J P",N00035757,L,TX04,TX,4
"Ramey, Jason",N00036496,I,CA11,CA,11
"Ramirez, Josh",N00036661,I,WA04,WA,4
"Ramirez, Sampson U",N00036790,I,AZ02,AZ,2
"Rand, Robert",N00035830,I,CA42,CA,42
"Rangel, Charles B",N00000964,D,NY13,NY,13
"Rankin, Sam",N00004633,I,MTS2,MT,S2
"Ransdell, Robert Edward",N00036782,I,KYS1,KY,S1
"Rath, Megan Ann",N00036365,R,PA01,PA,1
"Rathje, Steve",N00027686,R,IA01,IA,1
"Ravnsborg, Jason",N00036057,R,SDS2,SD,S2
"Rawl, Jonathan",N00036600,D,MSS1,MS,S1
"Rawles, Mark J",N00032524,3,TN08,TN,8
"Ray, Buddy",N00036579,I,OK05,OK,5
"Ray, Leon Loe",N00036523,I,FL09,FL,9
"Rayburn, Bentley",N00028413,R,CO05,CO,5
"Raye, Kevin",N00013867,R,ME02,ME,2
"Read, Jim",N00035734,D,MN06,MN,6
"Reasons, Tom",N00036487,D,TN08,TN,8
"Reasor, Reid",N00035789,R,TXS1,TX,S1
"Recchia, Domenic",N00029405,D,NY11,NY,11
"Recktenwald, Tom",N00036045,D,KYS1,KY,S1
"Redmond, Jim",N00036121,D,IN03,IN,3
"Redpath, William",N00030145,L,VA10,VA,10
"Reed, Jack",N00000362,D,RIS2,RI,S2
"Reed, Kenneth Ray",N00035644,R,WV02,WV,2
"Reed, Wesley",N00035999,D,TX27,TX,27
"Reese, Brandon Rex",N00035537,R,TX05,TX,5
"Reese, Brian",N00035860,D,GA01,GA,1
"Reeves, Ernest",N00036422,D,NCS1,NC,S1
"Reich, Ed",N00036150,I,MS04,MS,4
"Reid, Beverly E",N00035233,R,IL02,IL,2
"Renfroe, Scott",N00036250,R,CO04,CO,4
"Renteria, Amanda",N00035560,D,CA21,CA,21
"Reyes, Art",N00013164,I,HIS1,HI,S1
"Reyes, Eloise Gomez",N00035363,D,CA31,CA,31
"Reynolds, Conrad",N00035793,R,AR02,AR,2
"Reynolds, Mel",N00004881,D,IL02,IL,2
"Rhoden, Larry",N00035501,R,SDS2,SD,S2
"Rhodes, John",N00036865,3,NCS1,NC,S1
"Rich, Arthur",N00036151,R,NC01,NC,1
"Richardson, Ralph Blaine",N00034403,I,ME02,ME,2
"Riedel, Anthony Troy",N00036397,R,VA01,VA,1
"Ries, Bob",N00031653,R,TN05,TN,5
"Rike, Chris",N00036793,L,AZ04,AZ,4
"Riley, Robin",N00036009,R,TX36,TX,36
"Rimensnyder, Nelson",N00035845,R,DC00,DC,0
"Rines, Caprice",N00036346,3,NY04,NY,4
"Ring, Michael F",N00035931,R,NY21,NY,21
"Ringo, Shirley",N00035583,D,ID01,ID,1
"Risch, James E",N00029441,R,IDS1,ID,S1
"Riser, Neil",N00035547,R,LA05,LA,5
"Ritch, John Thomas",N00035549,L,NC11,NC,11
"Rivers, Donovan",N00028605,D,WA09,WA,9
"Robbins, Craig",N00035419,R,IL11,IL,11
"Roberts, Bill",N00034371,D,MI11,MI,11
"Roberts, Boyd",N00035354,D,CA42,CA,42
"Roberts, Mark",N00034943,3,TX02,TX,2
"Roberts, Michael",N00036697,D,MN02,MN,2
"Roberts, Pat",N00005285,R,KSS1,KS,S1
"Robertson, Darrel",N00036172,R,OK02,OK,2
"Robertson, Martha",N00035337,D,NY23,NY,23
"Robinson, Corinna",N00035753,D,SD01,SD,1
"Robinson, Jack E",N00013142,I,MAS2,MA,S2
"Robinson, Joey",N00036298,L,MS04,MS,4
"Robinson, Todd Anthony",N00035478,D,GAS1,GA,S1
"Robles, Luz",N00035639,D,UT02,UT,2
"Roche, Dan",N00035677,D,IL07,IL,7
"Rockwood, Chris",N00036591,D,WI05,WI,5
"Rodgers, Jeremy",N00036256,R,FL22,FL,22
"Rodgers, Mike",N00035719,3,FL16,FL,16
"Rodriguez, Adam",N00036179,D,PA10,PA,10
"Rogers, Evelyn",N00005600,R,OKS2,OK,S2
"Rogers, Jim",N00025743,D,OKS1,OK,S1
"Rogers, Kesha",N00031548,D,TXS1,TX,S1
"Rogers, Lee C",N00033372,D,CA25,CA,25
"Rogers, Mike",N00009668,R,MI08,MI,8
"Rogers, Ted",N00036622,L,AZ07,AZ,7
"Rogers, Walt",N00035582,R,IA01,IA,1
"Rogers, Warren",N00036830,I,UT02,UT,2
"Rogers, Wendy",N00033985,R,AZ09,AZ,9
"Roland, Jon",N00029814,L,TXS1,TX,S1
"Romaguera, Allan",N00028747,3,NY07,NY,7
"Romanoff, Andrew",N00031163,D,CO06,CO,6
"Roots, Roger",N00036421,L,MTS2,MT,S2
"Rose, Bobbie",N00034472,D,SC01,SC,1
"Rosendale, Matt",N00035517,R,MT01,MT,1
"Roske, Brent",N00036507,I,CA33,CA,33
"Rossano, Timothy",N00035855,I,FL19,FL,19
"Rossi, Jane",N00035932,R,NY24,NY,24
"Roth, Kent",N00022361,R,KS01,KS,1
"Rothblatt, Gabriel",N00035344,D,FL08,FL,8
"Rounds, Mike",N00035187,R,SDS2,SD,S2
"Rourke, Robb",N00036086,L,TX36,TX,36
"Rowley, Ryan",N00029419,L,TX34,TX,34
"Rozzo, Tino",N00013336,3,NJ02,NJ,2
"Rubens, Jim",N00035667,R,NHS2,NH,S2
"Ruehl, Keith",N00035915,D,NC11,NC,11
"Ruiz, Jose",N00035507,R,ILS1,IL,S1
"Ruiz, Nicholas III",N00032576,D,FL09,FL,9
"Rullo, Joe",N00031632,I,NJS2,NJ,S2
"Rumzie, Robert",N00036581,L,OR02,OR,2
"Rundquist, Paul",N00036139,D,MD02,MD,2
"Runyan, Jon",N00031988,R,NJ03,NJ,3
"Rush, Jake",N00035848,R,FL03,FL,3
"Russell, Donald",N00036723,R,VT01,VT,1
"Russell, Jeffrey",N00033229,3,CT01,CT,1
"Russell, Richard",N00036748,I,LA03,LA,3
"Russell, Weldon",N00035595,D,LA05,LA,5
"Ryan, Matt",N00035954,D,PA03,PA,3
"Sabas, Antonio",N00035497,I,NJS2,NJ,S2
"Sabrin, Murray",N00009941,R,NJS2,NJ,S2
"Sachs, Michael Ian",N00036505,3,CA33,CA,33
"Saidel, Jonathan",N00035318,D,PA13,PA,13
"Salas, Andrew",N00036817,D,MP00,MP,0
"Salehi, Al",N00032129,I,CA45,CA,45
"Salekin, Choudury",N00036438,I,TNS2,TN,S2
"Salgado, Erick J",N00036349,D,NY11,NY,11
"Salvette, Emily",N00035068,L,MI01,MI,1
"Samuelson, James Alan",N00035699,I,AZ05,AZ,5
"Sanchez, David",N00032211,D,CA40,CA,40
"Sanchez, Emily",N00036061,3,TXS1,TX,S1
"Sanchez, Loretta",N00008274,D,CA46,CA,46
"Sanchez, Tom",N00036004,D,TX33,TX,33
"Sandman, Ray Skip",N00036641,3,MN08,MN,8
"Sandoval, Tony",N00036656,D,WA04,WA,4
"Sanford, Jeffry",N00036720,L,LA01,LA,1
"Sannes, Marvin",N00036362,I,ORS1,OR,S1
"Sanyal, Ron",N00036315,D,NC13,NC,13
"Sare, Diane",N00034087,D,NJ05,NJ,5
"Sarner, Larry",N00035838,R,CO02,CO,2
"Sarvis, Robert Christopher",N00036442,L,VAS2,VA,S2
"Sasse, Ben",N00035544,R,NES2,NE,S2
"Saucier, Charles",N00036753,L,LA05,LA,5
"Savior, Ole",N00009916,R,MNS1,MN,S1
"Savitt, Marc",N00036189,R,VA10,VA,10
"Scaturro, Frank",N00031009,R,NY04,NY,4
"Schaben, Scott",N00035484,R,IAS2,IA,S2
"Schaeffer, Kenneth",N00036564,3,NY13,NY,13
"Schamis, Raymond Todd",N00036529,I,FL22,FL,22
"Schechter, Eric",N00036439,I,TNS2,TN,S2
"Scherr, Maxey",N00035787,D,TXS1,TX,S1
"Schertzing, Eric",N00036541,D,MI08,MI,8
"Schiess, John",N00033362,R,WI07,WI,7
"Schilling, Bobby",N00030668,R,IL17,IL,17
"Schlakman, Ian",N00035602,3,MD02,MD,2
"Schlesinger, Alan",N00000596,R,FL18,FL,18
"Scholte, Suzanne",N00036025,R,VA11,VA,11
"Schonberg, Steve",N00032232,D,KYS1,KY,S1
"Schooley, Travis",N00034723,R,PA09,PA,9
"Schroder, Mary H",N00036882,I,GAS1,GA,S1
"Schroeder, Hank",N00036774,I,NJS2,NJ,S2
"Schuckman, Perry",N00036268,D,KS04,KS,4
"Schultz, Matt",N00035867,R,IA03,IA,3
"Schwartz, Leonard",N00028618,L,MI14,MI,14
"Schwartz, Sheldon",N00036270,D,MA05,MA,5
"Schwarz, David",N00035405,R,GA01,GA,1
"Sciortino, Carl",N00035270,D,MA05,MA,5
"Scolavino, Ruben",N00036326,D,NJ04,NJ,4
"Scott, Bob",N00022725,D,TN02,TN,2
"Seaman, David",N00035028,3,FL23,FL,23
"Seaman, Jack",N00036317,L,ND01,ND,1
"Seaward, David",N00036617,R,AK01,AK,1
"Sebring, Dan",N00030695,R,WI04,WI,4
"Seeley, David",N00035350,R,FL10,FL,10
"Seibert, Sean",N00034695,R,TX18,TX,18
"Seim, Gavin",N00035765,R,WA04,WA,4
"Senegal, Villian",N00036773,D,LAS1,LA,S1
"Senger, Darlene",N00035332,R,IL11,IL,11
"Sessions, Jeff",N00003062,R,ALS1,AL,S1
"Shaffer, James Alexander",N00035284,R,MD01,MD,1
"Shaheen, Jeanne",N00024790,D,NHS2,NH,S2
"Shannon, T W",N00036205,R,OKS1,OK,S1
"Shapiro, Michael",N00036502,D,CA33,CA,33
"Shapiro, Robert",N00022814,I,NJ01,NJ,1
"Sharer, Chris",N00035079,L,MI13,MI,13
"Shattuck, Robert",N00036094,R,AL06,AL,6
"Shaw, Herbert",N00000680,I,NJ08,NJ,8
"Shaw, Monte",N00035869,R,IA03,IA,3
"Shbeita, Adam",N00036726,3,CA44,CA,44
"Shea, Joe",N00036519,D,FL13,FL,13
"Sheffield, Horace",N00036280,D,MI13,MI,13
"Sheil, John",N00035456,D,OH02,OH,2
"Sheldon, Donna",N00035327,R,GA10,GA,10
"Shell, Mark",N00035041,L,MD02,MD,2
"Shepard, Jack",N00025842,3,MNS1,MN,S1
"Sherow, Jim",N00036133,D,KS01,KS,1
"Sherrell, Lenda",N00035965,D,TN04,TN,4
"Shields, Ryan",N00035991,L,TX21,TX,21
"Shirley, Kelly",N00036254,R,FL07,FL,7
"Shoaf, James Ryman",N00036115,R,FL04,FL,4
"Shoemake, Shelley",N00036554,3,MS02,MS,2
"Shogan, Stephen H",N00036040,I,COS2,CO,S2
"Shores, Dan",N00035894,R,MA09,MA,9
"Shudlick, Harold",N00027673,R,MNS1,MN,S1
"Shypulefski, Brent",N00036299,R,NC01,NC,1
"Si, Tae",N00035460,D,OK04,OK,4
"Sickles, Mark",N00036015,D,VA08,VA,8
"Siganporia, Karl",N00036734,D,CA30,CA,30
"Silverstein, David",N00035928,R,NY04,NY,4
"Silverstein, Matt",N00035499,D,OKS2,OK,S2
"Simon, Fred J Jr",N00035394,R,CA52,CA,52
"Simonson, Roxanne",N00036000,L,TX27,TX,27
"Simpson, Stephen",N00033604,R,GA10,GA,10
"Singh, Navraj",N00029951,R,CA25,CA,25
"Singh, Vanila",N00035816,R,CA17,CA,17
"Sink, Alex",N00035716,D,FL13,FL,13
"Sinner, George",N00036316,D,ND01,ND,1
"Sivarajah, Rhonda",N00035442,R,MN06,MN,6
"Skarin, Bruce",N00036685,I,MAS2,MA,S2
"Slantz, Bill",N00034685,L,MO08,MO,8
"Sloan, Sam",N00027260,D,NY15,NY,15
"Slowinski, Brian",N00036259,R,GA10,GA,10
"Smink, Carl",N00036740,R,DES2,DE,S2
"Smith, Alden",N00035432,D,ME02,ME,2
"Smith, Bob",N00028522,3,TN01,TN,1
"Smith, Bob",N00008957,R,NHS2,NH,S2
"Smith, Bryan",N00035417,R,ID02,ID,2
"Smith, David",N00035794,R,FL07,FL,7
"Smith, DJ",N00036683,R,KSS1,KS,S1
"Smith, Gordon",N00036073,R,IN07,IN,7
"Smith, Jonathan Turner",N00035828,I,CA34,CA,34
"Smith, Karen",N00036485,D,SC06,SC,6
"Smith, Larry",N00035801,R,TX34,TX,34
"Smith, Marc Anthony",N00025405,D,GA01,GA,1
"Smith, Michael Johnston",N00036082,R,TX21,TX,21
"Smith, Roger",N00036894,I,WVS2,WV,S2
"Smith, Ruth",N00036846,I,IAS2,IA,S2
"Smith, Tootie",N00035953,R,OR05,OR,5
"Snyder, Jim",N00025139,R,NCS1,NC,S1
"Solodow, Matthew",N00035160,L,TX12,TX,12
"Southerland, Steve",N00031204,R,FL02,FL,2
"Souza, Daniel K",N00036825,L,OR05,OR,5
"Spangler, Tom",N00035883,D,IN08,IN,8
"Spano, Alexander",N00036752,3,NJ02,NJ,2
"Sparks, Harvey",N00036359,R,OK05,OK,5
"Spees, Kristen",N00036339,D,NV02,NV,2
"Spera, Barney",N00036361,D,OR02,OR,2
"Sperber, Joseph Jean",N00036535,I,MD02,MD,2
"Spilka, Karen",N00035428,D,MA05,MA,5
"Squiers, Lissa",N00032972,D,TX07,TX,7
"St John, Steve",N00036343,I,NV03,NV,3
"Stackhouse, Ed",N00035524,3,NJS2,NJ,S2
"Stacy, John",N00033250,R,TX04,TX,4
"Stadler, Chuck",N00034892,D,MI10,MI,10
"Stainfield, Tami",N00033433,I,WVS2,WV,S2
"Stallings, Richard",N00006259,D,ID02,ID,2
"Stamper, Jay",N00035320,D,SCS2,SC,S2
"Stanczak, James",N00035151,L,TX29,TX,29
"Standiford, Debbie",N00036226,L,AR02,AR,2
"Stapleton, Corey",N00035280,R,MT01,MT,1
"Starbuck, Lorenzo",N00035521,R,FL26,FL,26
"Steger, Michael G",N00036214,I,CA12,CA,12
"Stein, Gary",N00030479,I,NJ02,NJ,2
"Steinberg, Mike",N00033787,R,NC09,NC,9
"Steinhardt, Allen Frank",N00036646,I,NY05,NY,5
"Steinman, Leonard",N00032425,R,MO03,MO,3
"Steinman, Velma",N00036286,D,MO03,MO,3
"Stephens, Amy",N00035775,R,COS2,CO,S2
"Stephens, Barry",N00036804,I,ME01,ME,1
"Sterling, Shawna",N00036047,R,KYS1,KY,S1
"Stern, Everett",N00035961,R,PA13,PA,13
"Stevens, Robert J",N00036388,R,UT03,UT,3
"Stevenson, Will",N00036562,3,NY02,NY,2
"Stewart, Rick",N00036844,I,IAS2,IA,S2
"Stewart, Will",N00036051,D,NCS1,NC,S1
"Stieringer, Jim",N00035835,R,CA53,CA,53
"Stiles, Larry",N00035353,R,PA12,PA,12
"Stinson, William Clinton",N00036305,D,NC05,NC,5
"Stockdale, David S",N00035351,R,IN05,IN,5
"Stocker, Barbara Hamill",N00035614,D,MO08,MO,8
"Stockman, Steve",N00005918,R,TXS1,TX,S1
"Stockwell, Chris",N00036639,I,MA04,MA,4
"Stockwell, Glenn",N00034841,R,WA04,WA,4
"Stokes, Steve",N00036242,I,CA28,CA,28
"Stone, John",N00029494,R,GA12,GA,12
"Stovall, Dwayne",N00035673,R,TXS1,TX,S1
"Strawcutter, Rick",N00036812,3,MI07,MI,7
"Streusand, Ben",N00026459,R,TX36,TX,36
"Strickland, Tony",N00026322,R,CA25,CA,25
"Stroebel, Duey",N00036592,R,WI06,WI,6
"Strom, Jason",N00036561,3,NY01,NY,1
"Strong, Zack",N00036390,3,UT03,UT,3
"Strouse, Kevin",N00035339,D,PA08,PA,8
"Stuart, Alexis",N00035818,R,CA24,CA,24
