CRPName,CID,Party,DistIDRunFor,State,District
"Bishop, Ron",N00041917,L,ALS1,AL,S1
"Bishop, Sanford",N00002674,D,GA02,GA,2
"Bizon, Kimberly",N00042452,D,MI10,MI,10
"Bjorkman, Tim",N00041469,D,SD01,SD,1
"Black, Gwendolyn",N00042488,D,OK05,OK,5
"Black, Phil",N00030082,D,SC02,SC,2
"Black, Thereasa",N00041126,D,MD04,MD,4
"Blackburn, Marsha",N00003105,R,TNS1,TN,S1
"Blackmon, Anthony",N00042374,R,AL04,AL,4
"Blanco, Jaimy",N00042288,R,TX29,TX,29
"Blankenbeker, Lynne",N00042462,R,NH02,NH,2
"Blankenship, Don",N00042370,3,WVS1,WV,S1
"Blankenship, Seth",N00042158,R,NC10,NC,10
"Blazek, Robert",N00042684,R,OH06,OH,6
"Bledsoe, Bill",N00039665,R,SC05,SC,5
"Bliatout, Bobby",N00041307,D,CA22,CA,22
"Bliss, Mark",N00039803,L,MO04,MO,4
"Bloom, Stephen",N00041592,R,PA13,PA,13
"Blum, Rod",N00033744,R,IA01,IA,1
"Blumenauer, Earl",N00007727,D,OR03,OR,3
"Blunt, Jeffrey",N00005981,L,TX20,TX,20
"Bly, Ray",N00026756,R,MD07,MD,7
"Boatner, John",N00042007,D,TN08,TN,8
"Boerio, Bibiana",N00043245,D,PA14,PA,14
"Bohren, Jensen",N00041442,D,MSS2,MS,S2
"Boice, Court",N00042890,R,OR04,OR,4
"Boivin, Brad",N00043468,R,WI01,WI,1
"Bolena, Donald",N00040678,R,GA06,GA,6
"Boler, Mark",N00031805,L,TX26,TX,26
"Bolhafner, Susan",N00040728,D,MO01,MO,1
"Bolinger, Larry",N00043181,R,NE03,NE,3
"Bonamici, Suzanne",N00033474,D,OR01,OR,1
"Bond, Tiffany",N00041818,I,ME02,ME,2
"Bonds, Kristine",N00042453,R,MI11,MI,11
"Bonham, Paul",N00041516,R,NC12,NC,12
"Bonneau, Jered",N00042957,I,WA05,WA,5
"Bonner, Jay",N00035577,R,FL20,FL,20
"Booker, Tykiem",N00041440,D,DES1,DE,S1
"Boone, Tanya",N00041985,D,NY21,NY,21
"Bordallo, Madeleine Z",N00024866,D,GU00,GU,0
"Borrelli, Tamborine",N00042018,3,WA10,WA,10
"Boser, Susan",N00042711,D,PA15,PA,15
"Bost, Mike",N00035420,R,IL12,IL,12
"Bourdeaux, Carolyn",N00041321,D,DC00,DC,0
"Bourdeaux, Carolyn",N00041791,D,GA07,GA,7
"Bourgeois, Jenna Marie",N00041673,D,MO04,MO,4
"Bowden, Craig",N00035465,L,UTS1,UT,S1
"Bowerman, Earl",N00043611,R,WA03,WA,3
"Bowers, Harry",N00041204,R,TX22,TX,22
"Boyajian, Don",N00041589,D,NY21,NY,21
"Boyanton, Richard",N00042762,R,MSS2,MS,S2
"Boyce, Henry Charles  ""Chuck""  Jr",N00040809,R,DES1,DE,S1
"Boyd, Will",N00031440,D,ALS1,AL,S1
"Boyle, Brendan",N00035307,D,PA02,PA,2
"Boyle, Dan",N00042708,D,PA05,PA,5
"Bradley, James",N00043073,R,CAS2,CA,S2
"Brady, Dwight",N00041819,D,MI01,MI,1
"Brady, Kevin",N00005883,R,TX08,TX,8
"Brady, Robert A",N00001619,D,PA02,PA,2
"Brakey, Eric",N00041037,R,MES1,ME,S1
"Brandon, Stephen",N00042918,D,TN06,TN,6
"Brannon, Mary",N00043369,D,OK04,OK,4
"Brat, Dave",N00036013,R,VA07,VA,7
"Braun, Mike",N00041731,R,INS1,IN,S1
"Braun, Steve",N00041658,R,IN04,IN,4
"Breault, Joseph",N00041436,R,ALS1,AL,S1
"Breckenridge, Rick",N00040447,L,MTS1,MT,S1
"Bredesen, Philip",N00042361,D,TNS1,TN,S1
"Brennan, Christopher",N00042347,D,CAS2,CA,S2
"Brian, Lee",N00041515,R,NC04,NC,4
"Bridges, Adam Wayne",N00041093,D,GA01,GA,1
"Briel, Amy Murri",N00041655,D,IL16,IL,16
"Bright, Bobby",N00029838,R,AL02,AL,2
"Bright, Lee",N00035669,R,SC04,SC,4
"Brill, David",N00042376,D,AZ04,AZ,4
"Brindisi, Anthony",N00041385,D,NY22,NY,22
"Brinson, Randy",N00041024,R,ALS1,AL,S1
"Briscoe, John",N00042788,R,CA47,CA,47
"Briscoe, Joyce",N00043447,D,NY16,NY,16
"Brisee, Steven",N00040623,D,NY19,NY,19
"Britt, Elysabeth",N00043217,D,OK05,OK,5
"Brittain, Craig",N00041919,R,AZS2,AZ,S2
"Brixey, Benjamin",N00039963,L,MO07,MO,7
"Broady, Flynn Jr",N00043151,D,GA11,GA,11
"Brock, Rueben",N00041994,D,PA18,PA,18
"Brolley, Matt",N00041344,D,IL14,IL,14
"Brook, Martin",N00042148,D,MI09,MI,9
"Brookins, Howard Jr",N00038640,D,IL01,IL,1
"Brooks, Doris Flores",N00043576,R,GU00,GU,0
"Brooks, James",N00043527,R,TN01,TN,1
"Brooks, Janis",N00034126,D,PA18,PA,18
"Brooks, Mo",N00030910,R,AL05,AL,5
"Brooks, Sherry",N00032053,R,NVS1,NV,S1
"Brooks, Susan",N00033495,R,IN05,IN,5
"Brown, Aja",N00042787,D,CA44,CA,44
"Brown, Alvin",N00042574,D,FL05,FL,5
"Brown, Anthony",N00036999,D,MD04,MD,4
"Brown, Brandon",N00027066,D,SC04,SC,4
"Brown, Christine",N00041238,D,WA04,WA,4
"Brown, David Wilson",N00041368,D,NC10,NC,10
"Brown, Jordan",N00042716,R,SC04,SC,4
"Brown, Lindsay",N00041681,R,NJ07,NJ,7
"Brown, Lisa",N00041715,D,WA05,WA,5
"Brown, Michael",N00042849,D,MD01,MD,1
"Brown, Paul",N00037254,R,TX32,TX,32
"Brown, Shaun",N00039713,I,VA02,VA,2
"Brown, Sherrod",N00003535,D,OHS1,OH,S1
"Brown, Stephen",N00043047,R,SC04,SC,4
"Brown, Steve",N00034590,L,NV03,NV,3
"Brown, Steve",N00042273,D,TX22,TX,22
"Brown, Yolanda",N00041629,D,CA08,CA,8
"Browning, Dean",N00042211,R,PA07,PA,7
"Browning, Kate",N00041848,D,NY01,NY,1
"Brownley, Julia",N00034254,D,CA26,CA,26
"Bruce, George",N00040710,R,KS04,KS,4
"Brueggemann, Dale",N00033315,R,TX15,TX,15
"Brumbles, Joseph",N00043616,R,WA10,WA,10
"Brunner, Earl",N00042507,R,TX05,TX,5
"Brunson, Loy",N00033163,R,UTS1,UT,S1
"Bruun, Bech",N00042280,R,TX27,TX,27
"Bryan, Pat",N00038791,D,TX02,TX,2
"Bryant, David R",N00043573,R,WAS1,WA,S1
"Bryce, Randy",N00041425,D,WI01,WI,1
"Buchan, Sean",N00040880,R,FL09,FL,9
"Buchanan, Jarred",N00042184,R,NY18,NY,18
"Buchanan, Vernon",N00027626,R,FL16,FL,16
"Buchman, Joe",N00030092,L,UT03,UT,3
"Buck, George",N00042576,R,FL13,FL,13
"Buck, Kenneth R",N00030829,R,CO04,CO,4
"Bucshon, Larry",N00031227,R,IN08,IN,8
"Budd, Ted",N00039551,R,NC13,NC,13
"Bulger, Jason",N00042401,I,FL04,FL,4
"Bunkeddeko, Adem",N00041850,D,NY09,NY,9
"Bunny, Sean",N00041987,D,NY27,NY,27
"Burch, Lorie",N00041192,D,TX03,TX,3
"Burchett, Tim",N00041594,R,TN02,TN,2
"Burgess, James E",N00042189,R,OH03,OH,3
"Burgess, Michael",N00025219,R,TX26,TX,26
"Burkett, Mary",N00041886,R,UT02,UT,2
"Burkhart, Eric",N00041408,R,TX21,TX,21
"Burleigh, Danny",N00043079,D,NVS1,NV,S1
"Burnette, Eric",N00041858,D,OR02,OR,2
"Burns, Bob",N00043442,R,NH02,NH,2
"Burns, Cullen",N00042946,L,TX29,TX,29
"Burns, Mark",N00042910,R,SC04,SC,4
"Burum, Jeffrey",N00041633,R,CA26,CA,26
"Busby, Gerald Lee",N00042553,I,ALS1,AL,S1
"Bush, Aaron Michael",N00041116,D,IN02,IN,2
"Bush, Cori",N00039373,D,MO01,MO,1
"Bush, Diane Mitsch",N00041317,D,CO03,CO,3
"Bustos, Cheri",N00033390,D,IL17,IL,17
"Butler, Jineea",N00043037,R,NY13,NY,13
"Butler, Jon",N00043635,I,WAS1,WA,S1
"Butler, Joshua A",N00040764,D,TX07,TX,7
"Butner, Josh",N00040872,D,CA50,CA,50
"Buttar, Shahid",N00042779,D,CA12,CA,12
