State,Name,CID,FECCandID
PA,Jess King,N00041398,H8PA16078
NY,Pete King,N00001193,H2NY03089
IA,Steven A King,N00025237,H2IA05072
MA,John Kingston,N00041548,S8MA00318
IL,Adam Kinzinger,N00030667,H0IL11052
NJ,Daryl Kipnis,N00043359,H8NJ12108
CA,Joel Kipuke,N00040416,H6CA06243
MO,Tony Kirk,N00043336,H8MO02265
UT,Sheldon Kirkham,N00042953,H8UT04061
PA,Thaddeus Kirkland,N00042902,H8PA05279
AZ,Ann Kirkpatrick,N00029260,H8AZ02151
CA,Keith Lucas Kirkwood,N00040649,H8CA34209
AL,Eulas Kirtdoll,N00042032,S8AL00498
CA,Jason Kishineff,N00042064,H8CA05183
IL,Mark Kleine,N00041656,H8IL17052
NJ,Nathan I Kleinman,N00043185,H8NJ02257
OH,Robert Klepinger,N00036357,H4OH10167
AL,Danner Kline,N00040840,H8AL06099
MN,Amy Klobuchar,N00027500,S6MN00267
OK,Roxann Klutts,N00043368,H8OK04086
AZ,Haryaksha Gregor Knauer,N00043575,H8AZ04173
UT,Henry Rudolph III Kneitz,N00043058,H8UT03428
FL,Howard Knepper,N00032619,S0FL00544
NV,Drew Knight,N00038908,S8NV00198
CA,Steve Knight,N00035820,H4CA25123
IA,Paul Knupp ,N00041106,H8IA03140
NV,Clint Koble,N00042468,H8NV02095
SC,Victor Kocher,N00025996,H8SC05208
MA,Dan Koh,N00041663,H8MA03072
WI,Dan Kohl,N00041247,H8WI06098
CO,Chase Kohne,N00041081,H8CO04083
OR,Marc W Koller,N00043227,H8OR03094
TX,Mike Kolls,N00035995,H4TX24151
TX,James Kong,N00042922,H8TX02224
MO,Steven Koonse,N00043339,H8MO04105
TX,Joseph Kopser,N00041166,H8TX21190
FL,Stephen Korka,N00042409,H8FL23069
WA,Brian Kostenko,N00041242,H8WA08148
CA,Michael Kotick,N00041483,H8CA48100
AZ,Billy Kovacs,N00040842,H8AZ02110
MN,Joe Kovacs,N00042455,H8MN05205
MI,Michael Kowall,N00042646,H8MI11361
NE,Arron Kowalski,N00043182,H8NE03129
MI,Ziggy Kozicki,N00043579,H8MI04119
TX,Catherine Krantz,N00042008,H8TX04162
OH,Steven Kraus,N00033645,H2OH09122
TX,Ryan Krause,N00042266,H8TX21281
SD,Shantel Krebs,N00040760,H8SD01063
MD,Bill Krehnbrink,N00001933,S8MD00369
OH,Bob Kreienkamp,N00042681,H8OH05176
MO,Bradley Krembs,N00043076,S8MO00210
GA,Amy Kremer,N00040689,H8GA06336
ME,Brian Kresge,N00041577,H8ME02169
IL,Raja Krishnamoorthi,N00033240,H6IL08147
TX,Shanda Krohn,N00042723,H8TX26132
UT,Keith Kuder,N00041225,H8UT03279
CT,Shannon Kula,N00043500,H8CT05252
TX,Sri Kulkarni,N00042142,H8TX22289
SC,David Kulma,N00041183,H8SC05232
MI,Lokesh Kumar,N00043326,H8MI08136
PA,Robert Kuniegel,N00041869,H8PA17068
MA,Jeremy Kurtz,N00043164,H8MA02124
TX,Phil Kurtz,N00042929,H8TX09153
FL,Danny Kushmer,N00043320,H8FL15248
NH,Ann Mclane Kuster,N00030875,H0NH02181
TN,David Kustoff,N00025445,H2TN07103
MA,Barbara L'Italien,N00042139,H8MA03197
MA,Thomas Mathew Labo,N00042846,H8MA06125
ID,Raul Labrador,N00031377,H0ID01253
NV,Thomas LaCroix,N00043199,H8NV03291
TN,Lenny Ladner,N00030308,H2TN07194
IL,Darin LaHood,N00037031,H6IL18088
IN,Jeannine Lee Lake,N00042833,H8IN06152
NY,Dal Lamagna,N00001163,H8NY19272
CA,Doug LaMalfa,N00033987,H2CA02142
PA,Conor Lamb,N00041870,H8PA18181
IN,Jonathan Lamb,N00041571,H8IN06079
CA,Russell Lambert,N00042572,H8CA46120
CO,Douglas L Lamborn,N00028133,H6CO05159
NJ,Leonard Lance,N00000898,H6NJ12136
CA,Caren Lancona,N00041030,S8CA00333
TX,Nicholas Landholt,N00039158,H6TX11096
MD,Erik Lane,N00043432,H8MD01250
OH,Werner Lange,N00042584,H8OH06117
RI,Jim Langevin,N00009724,H0RI02139
LA,David Langlinais,N00042844,H8LA03078
NM,Damian Lara,N00041157,H8NM01364
CO,Kristopher Larsen,N00041772,H8CO02228
WA,Rick Larsen,N00009759,H0WA02080
CT,John B Larson,N00000575,H8CT01046
PA,Michael LaSala,N00043452,H8PA11129
MO,Brent Lasater,N00040621,H8MO05110
MD,James David Lashar,N00043325,H8MD03173
IL,Joan McCarthy Lasonde,N00038427,H6IL09145
AZ,Jeff Latas,N00027828,H6AZ08020
NY,Phil Latessa,N00041171,H8NY24074
TN,Keith Latorre,N00043530,H8TN02275
OH,Robert E Latta,N00012233,H8OH05036
